Title,Starting_Page_Number,Section,Ending_Page_Number,Content
PROJECT RISK MANAGEMENT,395,11,401,11project risk managementproject risk management includes processes conducting risk management planning identification analysis response planning response implementation monitoring risk project. objectives project risk management increase probability and/or impact positive risks decrease probability and/or impact negative risks order optimize chances project success.the project risk management processes are:11.1 plan risk management—the process defining conduct risk management activities project.11.2 identify risks—the process identifying individual project risks well sources overall project risk documenting characteristics.11.3 perform qualitative risk analysis—the process prioritizing individual project risks analysis action assessing probability occurrence impact well characteristics.11.4 perform quantitative risk analysis—the process numerically analyzing combined effect identified individual project risks sources uncertainty overall project objectives.11.5 plan risk responses—the process developing options selecting strategies agreeing actions address overall project risk exposure well treat individual project risks.11.6 implement risk responses—the process implementing agreed-upon risk response plans.11.7 monitor risks—the process monitoring implementation agreed-upon risk response plans tracking identified risks identifying analyzing new risks evaluating risk process effectiveness throughout project.figure 11-1 provides overview project risk management processes. project management risk processes presented discrete processes defined interfaces practice overlap interact ways cannot completely detailed pmbok® guide. key concepts project risk managementall projects risky since unique undertakings varying degrees complexity aim deliver benefits. context constraints assumptions responding stakeholder expectations may conﬂicting changing. organizations choose take project risk controlled intentional manner order create value balancing risk reward.project risk management aims identify manage risks addressed project management processes. unmanaged risks potential cause project deviate plan fail achieve defined project objectives. consequently effectiveness project risk management directly related project success.risk exists two levels within every project. project contains individual risks affect achievement project objectives. also important consider riskiness overall project arises combination individual project risks sources uncertainty. project risk management processes address levels risk projects defined follows:individual project risk uncertain event condition occurs positive negative effect one project objectives.overall project risk effect uncertainty project whole arising sources uncertainty including individual risks representing exposure stakeholders implications variations project outcome positive negative.individual project risks positive negative effect project objectives occur. project risk management aims exploit enhance positive risks opportunities avoiding mitigating negative risks threats. unmanaged threats may result issues problems delay cost overruns performance shortfall loss reputation. opportunities captured lead benefits reduced time cost improved performance reputation.overall project risk also positive negative. management overall project risk aims keep project risk exposure within acceptable range reducing drivers negative variation promoting drivers positive variation maximizing probability achieving overall project objectives. risks continue emerge lifetime project project risk management processes conducted iteratively. risk initially addressed project planning shaping project strategy. risk also monitored managed project progresses ensure project stays track emergent risks addressed.in order manage risk effectively particular project project team needs know level risk exposure acceptable pursuit project objectives. defined measurable risk thresholds reﬂect risk appetite organization project stakeholders. risk thresholds express degree acceptable variation around project objective. explicitly stated communicated project team reﬂected definitions risk impact levels project.trends emerging practices project risk managementthe focus project risk management broadening ensure types risk considered project risks understood wider context. trends emerging practices project risk management include limited to:non-event risks. projects focus risks uncertain future events may may occur. examples event-based risks include: key seller may go business project customer may change requirement design complete subcontractor may propose enhancements standard operating processes.there increasing recognition non-event risks need identified managed. two main types non-event risks: variability risk. uncertainty exists key characteristics planned event activity decision. examples variability risks include: productivity may target number errors found testing may higher lower expected unseasonal weather conditions may occur construction phase. ambiguity risk. uncertainty exists might happen future. areas project imperfect knowledge might affect project’s ability achieve objectives include: elements requirement technical solution future developments regulatory frameworks inherent systemic complexity project.variability risks addressed using monte carlo analysis range variation reﬂected probability distributions followed actions reduce spread possible outcomes. ambiguity risks managed defining areas deficit knowledge understanding filling gap obtaining expert external input benchmarking best practices. ambiguity also addressed incremental development prototyping simulation.project resilience. existence emergent risk becoming clear growing awareness so-called unknowable-unknowns. risks recognized occurred. emergent risks tackled developing project resilience. requires project have: right level budget schedule contingency emergent risks addition specific risk budget known risks; flexible project processes cope emergent risk maintaining overall direction toward project goals including strong change management; empowered project team clear objectives trusted get job done within agreed-upon limits; frequent review early warning signs identify emergent risks early possible; clear input stakeholders clarify areas project scope strategy adjusted response emergent risks.integrated risk management. projects exist organizational context may form part program portfolio. risk exists levels risks owned managed appropriate level. risks identified higher levels delegated project team management project risks may escalated higher levels best managed outside project. coordinated approach enterprise-wide risk management ensures alignment coherence way risk managed across levels. builds risk efficiency structure programs portfolios providing greatest overall value given level risk exposure. tailoring considerationsbecause project unique necessary tailor way project risk management processes applied. considerations tailoring include limited to:project size. project’s size terms budget duration scope team size require detailed approach risk management? small enough justify simplified risk process?project complexity. robust risk approach demanded high levels innovation new technology commercial arrangements interfaces external dependencies increase project complexity? project simple enough reduced risk process suffice?project importance. strategically important project? level risk increased project aims produce breakthrough opportunities addresses significant blocks organizational performance involves major product innovation?development approach. waterfall project risk processes followed sequentially iteratively project follow agile approach risk addressed start iteration well execution?tailoring project risk management processes meet considerations part plan risk management process outcomes tailoring decisions recorded risk management plan.considerations agile/adaptive environmentshigh-variability environments definition incur uncertainty risk. address projects managed using adaptive approaches make use frequent reviews incremental work products cross-functional project teams accelerate knowledge sharing ensure risk understood managed. risk considered selecting content iteration risks also identified analyzed managed iteration.additionally requirements kept living document updated regularly work may reprioritized project progresses based improved understanding current risk exposure.
Plan Risk Management,401,11.1,402,11.1 plan risk management plan risk management process defining conduct risk management activities project. key benefit process ensures degree type visibility risk management proportionate risks importance project organization stakeholders. process performed predefined points project. inputs tools techniques outputs process depicted figure 11-2. plan risk management process begin project conceived completed early project. may necessary revisit process later project life cycle example major phase change project scope changes significantly subsequent review risk management effectiveness determines project risk management process requires modification.
Plan Risk Management Inputs,402,11.1.1,404,11.1.1 plan risk management: inputs11.1.1.1 project charter described section 4.1.3.1. project charter documents high-level project description boundaries high-level requirements risks.11.1.1.2 project management plandescribed section 4.2.3.1. planning project risk management approved subsidiary management plans taken consideration order make risk management plan consistent them. methodology outlined project management plan components might inﬂuence plan risk management process.11.1.1.3 project documents project documents considered inputs process include limited stakeholder register described section 13.1.3.1. stakeholder register contains details project’s stakeholders provides overview project roles attitude toward risk project. useful determining roles responsibilities managing risk project well setting risk thresholds project.11.1.1.4 enterprise environmental factors enterprise environmental factors inﬂuence plan risk management process include limited overall risk thresholds set organization key stakeholders.11.1.1.5 organizational process assetsthe organizational process assets inﬂuence plan risk management process include limited to:organizational risk policy;risk categories possibly organized risk breakdown structure;common definitions risk concepts terms;risk statement formats;templates risk management plan risk register risk report;roles responsibilities;authority levels decision making; andlessons learned repository previous similar projects.
Plan Risk Management Tools and Techniques,404,11.1.2,405,11.1.2 plan risk management: tools techniques 11.1.2.1 expert judgmentdescribed section 4.1.2.1. expertise considered individuals groups specialized knowledge training following topics:familiarity organization’s approach managing risk including enterprise risk management performed;tailoring risk management specific needs project; andtypes risk likely encountered projects area.11.1.2.2 data analysisdata analysis techniques used process includes limited stakeholder analysis section 13.1.2.3 determine risk appetite project stakeholders.11.1.2.3 meetings risk management plan may developed part project kick-off meeting specific planning meeting may held. attendees may include project manager selected project team members key stakeholders team members responsible manage risk management process project. others outside organization may also invited needed including customers sellers regulators. skilled facilitator help participants remain focused task agree key aspects risk approach identify overcome sources bias resolve disagreements may arise.plans conducting risk management activities defined meetings documented risk management plan see section 11.1.3.1.
Plan Risk Management Outputs,405,11.1.3,409,11.1.3 plan risk management: outputs11.1.3.1 risk management planthe risk management plan component project management plan describes risk management activities structured performed. risk management plan may include following elements:risk strategy. describes general approach managing risk project.methodology. defines specific approaches tools data sources used perform risk management project.roles responsibilities. defines lead support risk management team members type activity described risk management plan clarifies responsibilities.funding. identifies funds needed perform activities related project risk management. establishes protocols application contingency management reserves.timing. defines often project risk management processes performed throughout project life cycle establishes risk management activities inclusion project schedule.risk categories. provide means grouping individual project risks. common way structure risk categories risk breakdown structure rbs hierarchical representation potential sources risk see example figure 11-4. rbs helps project team consider full range sources individual project risks may arise. useful identifying risks categorizing identified risks. organization may generic rbs used projects may several rbs frameworks different types projects project may develop tailored rbs. rbs used organization may use custom risk categorization framework may take form simple list categories structure based project objectives. extract sample risk breakdown structure rbs stakeholder risk appetite. risk appetites key stakeholders project recorded risk management plan inform details plan risk management process. particular stakeholder risk appetite expressed measurable risk thresholds around project objective. thresholds determine acceptable level overall project risk exposure also used inform definitions probability impacts used assessing prioritizing individual project risks.definitions risk probability impacts. definitions risk probability impact levels specific project context reﬂect risk appetite thresholds organization key stakeholders. project may generate specific definitions probability impact levels may start general definitions provided organization. number levels reﬂects degree detail required project risk management process levels used detailed risk approach typically five levels fewer simple process usually three. table 11-1 provides example definitions probability impacts three project objectives. scales used evaluate threats opportunities interpreting impact definitions negative threats delay additional cost performance shortfall positive opportunities reduced time cost performance enhancement. prioritization rules may specified organization advance project included organizational process assets may tailored specific project. opportunities threats represented common probability impact matrix using positive definitions impact opportunities negative impact definitions threats. descriptive terms high high medium low low numeric values used probability impact. numeric values used multiplied give probability-impact score risk allows relative priority individual risks evaluated within priority level. example probability impact matrix presented figure 11-5 also shows possible numeric risk scoring scheme.figure 11-5. example probability impact matrix scoring schemereporting formats. reporting formats define outcomes project risk management process documented analyzed communicated. section risk management plan describes content format risk register risk report well required outputs project risk management processes.tracking. tracking documents risk activities recorded risk management processes audited.
Identify Risks,409,11.2,411,11.2 identify risksidentify risks process identifying individual project risks well sources overall project risk documenting characteristics. key benefit process documentation existing individual project risks sources overall project risk. also brings together information project team respond appropriately identified risks. process performed throughout project. inputs tools techniques outputs process depicted figure 11-6.identify risks considers individual project risks sources overall project risk. participants risk identification activities may include following: project manager project team members project risk specialist (if assigned) customers subject matter experts outside project team end users project managers operations managers stakeholders risk management experts within organization. personnel often key participants risk identification project stakeholders encouraged identify individual project risks. particularly important involve project team develop maintain sense ownership responsibility identified individual project risks level overall project risk associated risk response actions. describing recording individual project risks consistent format used risk statements ensure risk understood clearly unambiguously order support effective analysis risk response development. risk owners individual project risks may nominated part identify risks process confirmed perform qualitative risk analysis process. preliminary risk responses may also identified recorded reviewed confirmed part plan risk responses process. identify risks iterative process since new individual project risks may emerge project progresses life cycle level overall project risk also change. frequency iteration participation risk identification cycle vary situation defined risk management plan.
Identify Risks Inputs,411,11.2.1,414,11.2.1 identify risks: inputs11.2.1.1 project management plandescribed section 4.2.3.1. project management plan components include limited to:requirements management plan. described section 5.1.3.2. requirements management plan may indicate project objectives particularly risk.schedule management plan. described section 6.1.3.1. schedule management plan may identify areas subject uncertainty ambiguity.cost management plan. described section 7.1.3.1. cost management plan may identify areas subject uncertainty ambiguity.quality management plan. described section 8.1.3.1. quality management plan may identify areas subject uncertainty ambiguity key assumptions made might give rise risk.resource management plan. described section 9.1.3.1. resource management plan may identify areas subject uncertainty ambiguity key assumptions made might give rise risk. risk management plan. described section 11.1.3.1. risk management plan provides information risk-related roles responsibilities indicates risk management activities included budget schedule describes categories risk may expressed risk breakdown structure figure 11-4.scope baseline. described section 5.4.3.1. scope baseline includes deliverables criteria acceptance might give rise risk. also contains wbs used framework structure risk identification techniques.schedule baseline. described section 6.5.3.1. schedule baseline may reviewed identify milestones deliverable due dates subject uncertainty ambiguity key assumptions made might give rise risk.cost baseline. described section 7.3.3.1. cost baseline may reviewed identify costs funding requirements subject uncertainty ambiguity key assumptions made might give rise risk.11.2.1.2 project documentsproject documents considered inputs process include limited to:assumption log. described section 4.1.3.2. assumptions constraints recorded assumption log may give rise individual project risks may also inﬂuence level overall project risk.cost estimates. described section 7.2.3.1. cost estimates provide quantitative assessments project costs ideally expressed range indicating degree risk structured review documents may indicate current estimate insufficient poses risk project.duration estimates. described section 6.4.3.1. duration estimates provide quantitative assessments project durations ideally expressed range indicating degree risk structured review documents may indicate current estimate insufficient poses risk project.issue log. described section 4.3.3.3. issues recorded issue log may give rise individual project risks may also inﬂuence level overall project risk.lessons learned register. described section 4.4.3.1. lessons learned risk identified earlier phases project reviewed determine whether similar risks might recur remainder project.requirements documentation. described section 5.2.3.1. requirements documentation lists project requirements allows team identify could risk.resource requirements. described section 9.2.3.1. resource requirements provide quantitative assessments project resource requirements ideally expressed range indicating degree risk structured review documents may indicate current estimate insufficient poses risk project.stakeholder register. described section 13.1.3.1. stakeholder register indicates individuals groups might participate identifying risks project. also details individuals available act risk owners.11.2.1.3 agreementsdescribed section 12.2.3.2. project requires external procurement resources agreements may information milestone dates contract type acceptance criteria awards penalties present threats opportunities.11.2.1.4 procurement documentationdescribed section 12.3.1.4. project requires external procurement resources initial procurement documentation reviewed procuring goods services outside organization may increase decrease overall project risk may introduce additional individual project risks. procurement documentation updated throughout project date documentation reviewed risks. example seller performance reports approved change requests information inspections. 11.2.1.5 enterprise environmental factorsthe enterprise environmental factors inﬂuence identify risks process include limited to:published material including commercial risk databases checklistsacademic studiesbenchmarking results andindustry studies similar projects.11.2.1.6 organizational process assetsthe organizational process assets inﬂuence identify risks process include limited to:project files including actual dataorganizational project process controlsrisk statement formats andchecklists previous similar projects.
Identify Risks Tools and Techniques,414,11.2.2,417,11.2.2 identify risks: tools techniques11.2.2.1 expert judgmentdescribed section 4.1.2.1. expertise considered individuals groups specialized knowledge similar projects business areas. experts identified project manager invited consider aspects individual project risks well sources overall project risk based previous experience areas expertise. experts’ bias taken account process.11.2.2.2 data gatheringdata-gathering techniques used process include limited to:brainstorming. goal brainstorming see section 4.1.2.2 obtain comprehensive list individual project risks sources overall project risk. project team usually performs brainstorming often multidisciplinary set experts part team. ideas generated guidance facilitator either free-form brainstorm session one uses structured techniques. categories risk risk breakdown structure used framework. particular attention paid ensuring risks identified brainstorming clearly described since technique result ideas fully formed.checklists. checklist list items actions points considered. often used reminder. risk checklists developed based historical information knowledge accumulated similar projects sources information. effective way capture lessons learned similar completed projects listing specific individual project risks occurred previously may relevant project. organization may maintain risk checklist based completed projects may use generic risk checklists industry. checklist may quick simple use impossible build exhaustive one care taken ensure checklist used avoid effort proper risk identification. project team also explore items appear checklist. additionally checklist reviewed time time update new information well remove archive obsolete information.interviews. individual project risks sources overall project risk identified interviewing experienced project participants stakeholders subject matter experts. interviews see section 5.2.2.2 conducted environment trust confidentiality encourage honest unbiased contributions.11.2.2.3 data analysisdata analysis techniques used process include limited to:root cause analysis. root cause analysis see section 8.2.2.2 typically used discover underlying causes lead problem develop preventive action. used identify threats starting problem statement example project might delayed budget exploring threats might result problem occurring. technique used find opportunities starting benefit statement example early delivery budget exploring opportunities might result benefit realized.assumption constraint analysis. every project project management plan conceived developed based set assumptions within series constraints. often already incorporated scope baseline project estimates. assumption constraint analysis explores validity assumptions constraints determine pose risk project. threats may identified inaccuracy instability inconsistency incompleteness assumptions. constraints may give rise opportunities removing relaxing limiting factor affects execution project process.swot analysis. technique examines project strengths weaknesses opportunities threats swot perspectives. risk identification used increase breadth identified risks including internally generated risks. technique starts identification strengths weaknesses organization focusing either project organization business area general. swot analysis identifies opportunities project may arise strengths threats resulting weaknesses. analysis also examines degree organizational strengths may offset threats determines weaknesses might hinder opportunities.document analysis. described section 5.2.2.3. risks may identified structured review project documents including limited plans assumptions constraints previous project files contracts agreements technical documentation. uncertainty ambiguity project documents well inconsistencies within document different documents may indicators risk project. 11.2.2.4 interpersonal team skillsinterpersonal team skills used process includes limited facilitation see section 4.1.2.3. facilitation improves effectiveness many techniques used identify individual project risks sources overall project risk. skilled facilitator help participants remain focused risk identification task follow method associated technique accurately ensure clear risk descriptions identify overcome sources bias resolve disagreements may arise.11.2.2.5 prompt listsa prompt list predetermined list risk categories might give rise individual project risks could also act sources overall project risk. prompt list used framework aid project team idea generation using risk identification techniques. risk categories lowest level risk breakdown structure used prompt list individual project risks. common strategic frameworks suitable identifying sources overall project risk example pestle political economic social technological legal environmental tecop technical environmental commercial operational political vuca volatility uncertainty complexity ambiguity.11.2.2.6 meetingsto undertake risk identification project team may conduct specialized meeting often called risk workshop. risk workshops include form brainstorming see section 4.1.2.2 risk identification techniques may included depending level risk process defined risk management plan. use skilled facilitator increase effectiveness meeting. also essential ensure right people participate risk workshop. larger projects may appropriate invite project sponsor subject matter experts sellers representatives customer project stakeholders. risk workshops smaller projects may restricted subset project team.
Identify Risks Outputs,417,11.2.3,419,11.2.3 identify risks: outputs11.2.3.1 risk registerthe risk register captures details identified individual project risks. results perform qualitative risk analysis plan risk responses implement risk responses monitor risks recorded risk register processes conducted throughout project. risk register may contain limited extensive risk information depending project variables size complexity.on completion identify risks process content risk register may include limited to:list identified risks. individual project risk given unique identifier risk register. identified risks described much detail required ensure unambiguous understanding. structured risk statement may used distinguish risks causes effects.potential risk owners. potential risk owner identified identify risks process risk owner recorded risk register. confirmed perform qualitative risk analysis process.list potential risk responses. potential risk response identified identify risks process recorded risk register. confirmed plan risk responses process.additional data may recorded identified risk depending risk register format specified risk management plan. may include: short risk title risk category current risk status one causes one effects objectives risk triggers events conditions indicate risk occur wbs reference affected activities timing information risk identified might risk occur might longer relevant deadline taking action. 11.2.3.2 risk reportthe risk report presents information sources overall project risk together summary information identified individual project risks. risk report developed progressively throughout project risk management process. results perform qualitative risk analysis perform quantitative risk analysis plan risk responses implement risk responses monitor risks also included risk report processes completed. completion identify risks process information risk report may include limited to:sources overall project risk indicating important drivers overall project risk exposure; andsummary information identified individual project risks number identified threats opportunities distribution risks across risk categories metrics trends etc.additional information may included risk report depending reporting requirements specified risk management plan.11.2.3.3 project documents updatesproject documents may updated result process include limited to:assumption log. described section 4.1.3.2. identify risks process new assumptions may made new constraints may identified existing assumptions constraints may revisited changed. assumption log updated new information.issue log. described section 4.3.3.3. issue log updated capture new issues uncovered changes currently logged issues.lessons learned register. described section 4.4.3.1. lessons learned register updated information techniques effective identifying risks improve performance later phases projects.
Perform Qualitative Risk Analysis,419,11.3,421,11.3 perform qualitative risk analysisperform qualitative risk analysis process prioritizing individual project risks analysis action assessing probability occurrence impact well characteristics. key benefit process focuses efforts high-priority risks. process performed throughout project. inputs tools techniques outputs process depicted figure 11-8. figure 11-9 depicts data ﬂow diagram process. perform qualitative risk analysis: data flow diagramperform qualitative risk analysis assesses priority identified individual project risks using probability occurrence corresponding impact project objectives risks occur factors. assessments subjective based perceptions risk project team stakeholders. effective assessment therefore requires explicit identification management risk attitudes key participants perform qualitative risk analysis process. risk perception introduces bias assessment identified risks attention paid identifying bias correcting it. facilitator used support perform qualitative risk analysis process addressing bias key part facilitator’s role. evaluation quality available information individual project risks also helps clarify assessment risk’s importance project. perform qualitative risk analysis establishes relative priorities individual project risks plan risk responses. identifies risk owner risk take responsibility planning appropriate risk response ensuring implemented. perform qualitative risk analysis also lays foundation perform quantitative risk analysis process required. perform qualitative risk analysis process performed regularly throughout project life cycle defined risk management plan. often agile development environment perform qualitative risk analysis process conducted start iteration.
Perform Qualitative Risk Analysis Inputs,421,11.3.1,422,11.3.1 perform qualitative risk analysis: inputs11.3.1.1 project management plandescribed section 4.2.3.1. project management plan components include risk management plan described section 11.1.3.1. particular interest process roles responsibilities conducting risk management budgets risk management schedule activities risk management risk categories often defined risk breakdown structure definitions probability impact probability impact matrix stakeholders’ risk thresholds. inputs usually tailored project plan risk management process. available may developed perform qualitative risk analysis process presented project sponsor approval use.11.3.1.2 project documentsproject documents considered inputs process include limited to:assumption log. described section 4.1.3.2. assumption log used identifying managing monitoring key assumptions constraints may affect project. may inform assessment priority individual project risks.risk register. described section 11.2.3.1. risk register contains details identified individual project risk assessed perform qualitative risk analysis process.stakeholder register. described section 13.1.3.1. includes details project stakeholders may nominated risk owners.
Perform Qualitative Risk Analysis Tools and Techniques,422,11.3.2,427,11.3.2 perform qualitative risk analysis: tools techniques11.3.2.1 expert judgmentdescribed section 4.1.2.1. expertise considered individuals groups specialized knowledge training following topics:previous similar projects andqualitative risk analysis.expert judgment often obtained facilitated risk workshops interviews. possibility expert views biased taken account process.11.3.2.2 data gathering data-gathering techniques used process include limited interviews. structured semi-structured interviews section 5.2.2.2 used assess probability impacts individual project risks well factors. interviewer promote environment trust confidentiality interview setting encourage honest unbiased assessments.11.3.2.3 data analysisdata analysis techniques used process include limited to:risk data quality assessment. risk data quality assessment evaluates degree data individual project risks accurate reliable basis qualitative risk analysis. use low-quality risk data may lead qualitative risk analysis little use project. data quality unacceptable may necessary gather better data. risk data quality may assessed via questionnaire measuring project’s stakeholder perceptions various characteristics may include completeness objectivity relevancy timeliness. weighted average selected data quality characteristics generated give overall quality score.risk probability impact assessment. risk probability assessment considers likelihood specific risk occur. risk impact assessment considers potential effect one project objectives schedule cost quality performance. impacts negative threats positive opportunities. probability impact assessed identified individual project risk. risks assessed interviews meetings participants selected familiarity types risk recorded risk register. project team members knowledgeable persons external project included. level probability risk impact objective evaluated interview meeting. differences levels probability impact perceived stakeholders expected differences explored. explanatory detail including assumptions justifying levels assigned also recorded. risk probabilities impacts assessed using definitions given risk management plan see table 11-1. risks low probability impact may included within risk register part watch list future monitoring.assessment risk parameters. project team may consider characteristics risk addition probability impact prioritizing individual project risks analysis action. characteristics may include limited to: urgency. period time within response risk implemented order effective. short period indicates high urgency. proximity. period time risk might impact one project objectives. short period indicates high proximity. dormancy. period time may elapse risk occurred impact discovered. short period indicates low dormancy. manageability. ease risk owner owning organization manage occurrence impact risk. management easy manageability high. controllability. degree risk owner owning organization able control risk’s outcome. outcome easily controlled controllability high. detectability. ease results risk occurring occur detected recognized. risk occurrence detected easily detectability high. connectivity. extent risk related individual project risks. risk connected many risks connectivity high. strategic impact. potential risk positive negative effect organization’s strategic goals. risk major effect strategic goals strategic impact high. propinquity. degree risk perceived matter one stakeholders. risk perceived significant propinquity high.the consideration characteristics provide robust prioritization risks possible assessing probability impact.11.3.2.4 interpersonal team skillsinterpersonal team skills used process include limited facilitation see section 4.1.2.3. facilitation improves effectiveness qualitative analysis individual project risks. skilled facilitator help participants remain focused risk analysis task follow method associated technique accurately reach consensus assessments probability impacts identify overcome sources bias resolve disagreements may arise.11.3.2.5 risk categorizationrisks project categorized sources risk example. using risk breakdown structure rbs; see figure 11-4 area project affected example. using work breakdown structure wbs; see figures 5-12 5-13 5-14 useful categories example. project phase project budget roles responsibilities determine areas project exposed effects uncertainty. risks also categorized common root causes. risk categories may used project defined risk management plan.grouping risks categories lead development effective risk responses focusing attention effort areas highest risk exposure developing generic risk responses address groups related risks.11.3.2.6 data representationdata representation techniques used process include limited to:probability impact matrix. probability impact matrix grid mapping probability risk occurrence impact project objectives risk occurs. matrix specifies combinations probability impact allow individual project risks divided priority groups see figure 11-5. risks prioritized analysis planning risk responses based probability impacts. probability occurrence individual project risk assessed well impact one project objectives occur using definitions probability impact project specified risk management plan. individual project risks assigned priority level based combination assessed probability impact using probability impact matrix.an organization assess risk separately objective example. cost time scope separate probability impact matrix each. alternatively may develop ways determine one overall priority level risk either combining assessments different objectives taking highest priority level regardless objective affected.hierarchical charts. risks categorized using two parameters probability impact matrix cannot used graphical representations required. example bubble chart displays three dimensions data risk plotted disk bubble three parameters represented x-axis value y-axis value bubble size. example bubble chart shown figure 11-10 detectability proximity plotted x axes impact value represented bubble size. figure 11-10. example bubble chart showing detectability proximity impact value11.3.2.7 meetingsto undertake qualitative risk analysis project team may conduct specialized meeting often called risk workshop dedicated discussion identified individual project risks. goals meeting include review previously identified risks assessment probability impacts possibly risk parameters categorization prioritization. risk owner responsible planning appropriate risk response reporting progress managing risk allocated individual project risk part perform qualitative risk analysis process. meeting may start reviewing confirming probability impact scales used analysis. meeting may also identify additional risks discussion recorded analysis. use skilled facilitator increase effectiveness meeting.
Perform Qualitative Risk Analysis Outputs,427,11.3.3,428,11.3.3 perform qualitative risk analysis: outputs11.3.3.1 project documents updatesproject documents may updated result carrying process include limited to:assumption log. described section 4.1.3.2. perform qualitative risk analysis process new assumptions may made new constraints may identified existing assumptions constraints may revisited changed. assumption log updated new information.issue log. described section 4.3.3.3. issue log updated capture new issues uncovered changes currently logged issues.risk register. described section 11.2.3.1. risk register updated new information generated perform qualitative risk analysis process. updates risk register may include assessments probability impacts individual project risk priority level risk score nominated risk owner risk urgency information risk categorization watch list low-priority risks risks requiring analysis.risk report. described section 11.2.3.2. risk report updated reﬂect important individual project risks usually highest probability impact well prioritized list identified risks project summary conclusion.
