Title,Starting_Page_Number,Section,Ending_Page_Number,Content
Perform Quantitative Risk Analysis,428,11.4,430,11.4 perform quantitative risk analysisperform quantitative risk analysis process numerically analyzing combined effect identified individual project risks sources uncertainty overall project objectives. key benefit process quantifies overall project risk exposure also provide additional quantitative risk information support risk response planning. process required every project used performed throughout project. inputs outputs process depicted figure 11-11. perform quantitative risk analysis: data flow diagramperform quantitative risk analysis required projects. undertaking robust analysis depends availability high-quality data individual project risks sources uncertainty well sound underlying project baseline scope schedule cost. quantitative risk analysis usually requires specialized risk software expertise development interpretation risk models. also consumes additional time cost. use quantitative risk analysis project specified project’s risk management plan. likely appropriate large complex projects strategically important projects projects contractual requirement projects key stakeholder requires it. quantitative risk analysis reliable method assess overall project risk evaluating aggregated effect project outcomes individual project risks sources uncertainty.perform quantitative risk analysis uses information individual project risks assessed perform qualitative risk analysis process significant potential affect project’s objectives.outputs perform quantitative risk analysis used inputs plan risk responses process particularly recommending responses level overall project risk key individual risks. quantitative risk analysis may also undertaken following plan risk responses process determine likely effectiveness planned responses reducing overall project risk exposure.
Perform Quantitative Risk Analysis Inputs,430,11.4.1,431,11.4.1 perform quantitative risk analysis: inputs11.4.1.1 project management plandescribed section 4.2.3.1. project management plan components include limited to:risk management plan. described section 11.1.3.1. risk management plan specifies whether quantitative risk analysis required project. also details resources available analysis expected frequency analyses.scope baseline. described section 5.4.3.1. scope baseline describes starting point effect individual project risks sources uncertainty evaluated.schedule baseline. described section 6.5.3.1. schedule baseline describes starting point effect individual project risks sources uncertainty evaluated.cost baseline. described section 7.3.3.1. cost baseline describes starting point effect individual project risks sources uncertainty evaluated.11.4.1.2 project documentsproject documents considered inputs process include limited to:assumption log. described section 4.1.3.2. assumptions may form inputs quantitative risk analysis assessed posing risk project objectives. effect constraints may also modeled quantitative risk analysis.basis estimates. described sections 6.4.3.2 7.2.3.2. basis estimates used planning project may reﬂected variability modeled quantitative risk analysis process. may include information estimate’s purpose classification assumed accuracy methodology source.cost estimates. described section 7.2.3.1. cost estimates provide starting point cost variability evaluated.cost forecasts. described section 7.4.3.2. forecasts project’s estimate complete etc estimate completion eac budget completion bac to-complete performance index tcpi may compared results quantitative cost risk analysis determine confidence level associated achieving targets.duration estimates. described section 6.4.3.1. duration estimates provide starting point schedule variability evaluated.milestone list. described section 6.2.3.3. significant events project define schedule targets results quantitative schedule risk analysis compared order determine confidence level associated achieving targets. resource requirements. described section 9.2.3.1. resource requirements provide starting point variability evaluated. risk register. described section 11.2.3.1. risk register contains details individual project risks used input quantitative risk analysis. risk report. described section 11.2.3.2. risk report describes sources overall project risk current overall project risk status. schedule forecasts. described section 6.6.3.2. forecasts may compared results quantitative schedule risk analysis determine confidence level associated achieving targets. 11.4.1.3 enterprise environmental factors enterprise environmental factors influence perform quantitative risk analysis process include limited to: industry studies similar projects published material including commercial risk databases checklists. 11.4.1.4 organizational process assets organizational process assets influence perform quantitative risk analysis process include information similar completed projects.
Perform Quantitative Risk Analysis Tools and Techniques,431,11.4.2,436,11.4.2 perform quantitative risk analysis: tools techniques11.4.2.1 expert judgmentdescribed section 4.1.2.1. expertise considered individuals groups specialized knowledge training following topics:translating information individual project risks sources uncertainty numeric inputs quantitative risk analysis modelselecting appropriate representation uncertainty model particular risks sources uncertaintymodeling techniques appropriate context projectidentifying tools would suitable selected modeling techniques andinterpreting outputs quantitative risk analysis. 11.4.2.2 data gatheringinterviews see section 5.2.2.2 may used generate inputs quantitative risk analysis drawing inputs include individual project risks sources uncertainty. particularly useful information required experts. interviewer promote environment trust confidentiality interview encourage honest unbiased contributions.11.4.2.3 interpersonal team skillsinterpersonal team skills used process include limited facilitation see section 4.1.2.3. skilled facilitator useful gathering input data dedicated risk workshop involving project team members stakeholders. facilitated workshops improve effectiveness establishing clear understanding purpose workshop building consensus among participants ensuring continued focus task using creative approaches deal interpersonal conﬂict sources bias.11.4.2.4 representations uncertaintyquantitative risk analysis requires inputs quantitative risk analysis model reﬂect individual project risks sources uncertainty.where duration cost resource requirement planned activity uncertain range possible values represented model probability distribution. may take several forms. commonly used triangular normal lognormal beta uniform discrete distributions. care taken selecting appropriate probability distribution reﬂect range possible values planned activity.individual project risks may covered probability distributions. alternatively risks may included model probabilistic branches optional activities added model represent time and/or cost impact risk occur chance activities actually occur particular simulation run matches risk’s probability. branches useful risks might occur independently planned activity. risks related example common cause logical dependency correlation used model indicate relationship.other sources uncertainty may also represented using branches describe alternative paths project.11.4.2.5 data analysisdata analysis techniques used process include limited to:simulation. quantitative risk analysis uses model simulates combined effects individual project risks sources uncertainty evaluate potential impact achieving project objectives. simulations typically performed using monte carlo analysis. running monte carlo analysis cost risk simulation uses project cost estimates. running monte carlo analysis schedule risk schedule network diagram duration estimates used. integrated quantitative cost-schedule risk analysis uses inputs. output quantitative risk analysis model.computer software used iterate quantitative risk analysis model several thousand times. input values example. cost estimates duration estimates occurrence probabilistic branches chosen random iteration. outputs represent range possible outcomes project example. project end date project cost completion. typical outputs include histogram presenting number iterations particular outcome resulted simulation cumulative probability distribution s-curve representing probability achieving particular outcome less. example s-curve monte carlo cost risk analysis shown figure 11-13.for quantitative schedule risk analysis also possible conduct criticality analysis determines elements risk model greatest effect project critical path. criticality index calculated element risk model gives frequency element appears critical path simulation usually expressed percentage. output criticality analysis allows project team focus risk response planning efforts activities highest potential effect overall schedule performance project.sensitivity analysis. sensitivity analysis helps determine individual project risks sources uncertainty potential impact project outcomes. correlates variations project outcomes variations elements quantitative risk analysis model.one typical display sensitivity analysis tornado diagram presents calculated correlation coefficient element quantitative risk analysis model inﬂuence project outcome. include individual project risks project activities high degrees variability specific sources ambiguity. items ordered descending strength correlation giving typical tornado appearance. example tornado diagram shown figure 11-14. decision trees used support selection best several alternative courses action. alternative paths project shown decision tree using branches representing different decisions events associated costs related individual project risks including threats opportunities. end-points branches decision tree represent outcome following particular path negative positive.the decision tree evaluated calculating expected monetary value branch allowing optimal path selected. example decision tree shown figure 11-15.influence diagrams. influence diagrams graphical aids decision making uncertainty. influence diagram represents project situation within project set entities outcomes influences together relationships effects them. element influence diagram uncertain result existence individual project risks sources uncertainty represented influence diagram using ranges probability distributions. influence diagram evaluated using simulation technique monte carlo analysis indicate elements greatest influence key outcomes. outputs influence diagram similar quantitative risk analysis methods including s-curves tornado diagrams.
Perform Quantitative Risk Analysis Outputs,436,11.4.3,437,11.4.3 perform quantitative risk analysis: outputs11.4.3.1 project documents updatesproject documents considered outputs process include limited risk report described section 11.2.3.2. risk report updated reﬂect results quantitative risk analysis. typically include:assessment overall project risk exposure. overall project risk reﬂected two key measures: chances project success indicated probability project achieve key objectives example. required end date interim milestones required cost target etc. given identified individual project risks sources uncertainty; degree inherent variability remaining within project time analysis conducted indicated range possible project outcomes.detailed probabilistic analysis project. key outputs quantitative risk analysis presented s-curves tornado diagrams criticality analysis together narrative interpretation results. possible detailed results quantitative risk analysis may include: amount contingency reserve needed provide specified level confidence; identification individual project risks sources uncertainty greatest effect project critical path; major drivers overall project risk greatest inﬂuence uncertainty project outcomes.prioritized list individual project risks. list includes individual project risks pose greatest threat present greatest opportunity project indicated sensitivity analysis.trends quantitative risk analysis results. analysis repeated different times project life cycle trends may become apparent inform planning risk responses.recommended risk responses. risk report may present suggested responses level overall project risk exposure key individual project risks based results quantitative risk analysis. recommendations form inputs plan risk responses process.
Plan Risk Responses,437,11.5,439,11.5 plan risk responsesplan risk responses process developing options selecting strategies agreeing actions address overall project risk exposure well treat individual project risks. key benefit process identifies appropriate ways address overall project risk individual project risks. process also allocates resources inserts activities project documents project management plan needed. process performed throughout project. inputs tools techniques outputs process depicted figure 11-16. figure 11-17 depicts data ﬂow diagram process.effective appropriate risk responses minimize individual threats maximize individual opportunities reduce overall project risk exposure. unsuitable risk responses converse effect. risks identified analyzed prioritized plans developed nominated risk owner addressing every individual project risk project team considers sufficiently important either threat poses project objectives opportunity offers. project manager also consider respond appropriately current level overall project risk. risk responses appropriate significance risk cost-effective meeting challenge realistic within project context agreed upon parties involved owned responsible person. selecting optimal risk response several options often required. strategy mix strategies likely effective selected risk. structured decision-making techniques may used choose appropriate response. large complex projects may appropriate use mathematical optimization model real options analysis basis robust economic analysis alternative risk response strategies. specific actions developed implement agreed-upon risk response strategy including primary backup strategies necessary. contingency plan (or fallback plan) developed implementation selected strategy turns fully effective accepted risk occurs. secondary risks also identified. secondary risks risks arise direct result implementing risk response. contingency reserve often allocated time cost. developed may include identification conditions trigger use.
Plan Risk Responses Inputs,439,11.5.1,441,11.5.1 plan risk responses: inputs11.5.1.1 project management plandescribed section 4.2.3.1. project management plan components include limited to:resource management plan. described section 9.1.3.1. resource management plan used help determine resources allocated agreed-upon risk responses coordinated project resources.risk management plan. described section 11.1.3.1. risk management roles responsibilities risk thresholds used process.cost baseline. described section 7.3.3.1. cost baseline information contingency fund allocated respond risks. 11.5.1.2 project documentsproject documents considered inputs process include limited to:lessons learned register. described section 4.4.3.1. lessons learned effective risk responses used earlier phases project reviewed determine similar responses might useful remainder project.project schedule. described section 6.5.3.2. schedule used determine agreed-upon risk responses scheduled alongside project activities.project team assignments. described section 9.3.3.2. project team assignments show resources allocated agreed-upon risk responses.resource calendars. described section 9.2.1.2. resource calendars identify potential resources available allocated agreed-upon risk responses.risk register. described section 11.2.3.1. risk register contains details individual project risks identified prioritized risk responses required. priority level risk help guide selection appropriate risk responses. example high-priority threats opportunities may require priority action highly proactive response strategies. threats opportunities low-priority zone may require proactive management action beyond placed risk register part watch list adding contingency reserve.the risk register identifies nominated risk owner risk. may also contain preliminary risk responses identified earlier project risk management process. risk register may provide data identified risks assist planning risk responses including root causes risk triggers warning signs risks requiring responses near term risks need additional analysis identified.risk report. described section 11.2.3.2. risk report presents current level overall risk exposure project inform selection risk response strategy. risk report may also list individual project risks priority order provide additional analysis distribution individual project risks may inform risk response selection.stakeholder register. described section 13.1.3.1. stakeholder register identifies potential owners risk responses. 11.5.1.3 enterprise environmental factors enterprise environmental factors influence plan risk responses process include limited risk appetite thresholds key stakeholders. 11.5.1.4 organizational process assets organizational process assets influence plan risk responses process include limited to: templates risk management plan risk register risk report; historical databases; lessons learned repositories similar projects.
Plan Risk Responses Tools and Techniques,441,11.5.2,447,11.5.2 plan risk responses: tools techniques11.5.2.1 expert judgmentdescribed section 4.1.2.1. expertise considered individuals groups specialized knowledge following topics:threat response strategiesopportunity response strategiescontingent response strategies andoverall project risk response strategies.expert input may sought individuals particular subject matter expertise relevant specific individual project risk example specialist technical knowledge required. 11.5.2.2 data gatheringdata-gathering techniques used process include limited interviews see section 5.2.2.2. development responses individual project risks overall project risk may undertaken structured semi-structured interviews see section 5.2.2.2 risk owners. stakeholders may also interviewed necessary. interviewer promote environment trust confidentiality interview setting encourage honest unbiased decisions.11.5.2.3 interpersonal team skillsinterpersonal team skills used process includes limited facilitation see section 4.1.2.3. use facilitation improves effectiveness developing responses individual project risks overall project risk. skilled facilitator help risk owners understand risk identify compare alternative possible risk response strategies choose appropriate response strategy identify overcome sources bias.11.5.2.4 strategies threatsfive alternative strategies may considered dealing threats follows:escalate. escalation appropriate project team project sponsor agrees threat outside scope project proposed response would exceed project manager’s authority. escalated risks managed program level portfolio level relevant part organization project level. project manager determines notified threat communicates details person part organization. important ownership escalated threats accepted relevant party organization. threats usually escalated level matches objectives would affected threat occurred. escalated threats monitored project team escalation although may recorded risk register information.avoid. risk avoidance project team acts eliminate threat protect project impact. may appropriate high-priority threats high probability occurrence large negative impact. avoidance may involve changing aspect project management plan changing objective jeopardy order eliminate threat entirely reducing probability occurrence zero. risk owner may also take action isolate project objectives risk’s impact occur. examples avoidance actions may include removing cause threat extending schedule changing project strategy reducing scope. risks avoided clarifying requirements obtaining information improving communication acquiring expertise.transfer. transfer involves shifting ownership threat third party manage risk bear impact threat occurs. risk transfer often involves payment risk premium party taking threat. transfer achieved range actions include limited use insurance performance bonds warranties guarantees etc. agreements may used transfer ownership liability specified risks another party.mitigate. risk mitigation action taken reduce probability occurrence and/or impact threat. early mitigation action often effective trying repair damage threat occurred. adopting less complex processes conducting tests choosing stable seller examples mitigation actions. mitigation may involve prototype development see section 5.2.2.8 reduce risk scaling bench-scale model process product. possible reduce probability mitigation response might reduce impact targeting factors drive severity. example designing redundancy system may reduce impact failure original component.accept. risk acceptance acknowledges existence threat proactive action taken. strategy may appropriate low-priority threats may also adopted possible cost-effective address threat way. acceptance either active passive. common active acceptance strategy establish contingency reserve including amounts time money resources handle threat occurs. passive acceptance involves proactive action apart periodic review threat ensure change significantly. 11.5.2.5 strategies opportunitiesfive alternative strategies may considered dealing opportunities follows:escalate. risk response strategy appropriate project team project sponsor agrees opportunity outside scope project proposed response would exceed project manager’s authority. escalated opportunities managed program level portfolio level relevant part organization project level. project manager determines notified opportunity communicates details person part organization. important ownership escalated opportunities accepted relevant party organization. opportunities usually escalated level matches objectives would affected opportunity occurred. escalated opportunities monitored project team escalation although may recorded risk register information.exploit. exploit strategy may selected high-priority opportunities organization wants ensure opportunity realized. strategy seeks capture benefit associated particular opportunity ensuring definitely happens increasing probability occurrence %. examples exploiting responses may include assigning organization’s talented resources project reduce time completion using new technologies technology upgrades reduce cost duration.share. sharing involves transferring ownership opportunity third party shares benefit opportunity occurs. important select new owner shared opportunity carefully best able capture opportunity benefit project. risk sharing often involves payment risk premium party taking opportunity. examples sharing actions include forming risk-sharing partnerships teams special-purpose companies joint ventures.enhance. enhance strategy used increase probability and/or impact opportunity. early enhancement action often effective trying improve benefit opportunity occurred. probability occurrence opportunity may increased focusing attention causes. possible increase probability enhancement response might increase impact targeting factors drive size potential benefit. examples enhancing opportunities include adding resources activity finish early.accept. accepting opportunity acknowledges existence proactive action taken. strategy may appropriate low-priority opportunities may also adopted possible cost-effective address opportunity way. acceptance either active passive. common active acceptance strategy establish contingency reserve including amounts time money resources take advantage opportunity occurs. passive acceptance involves proactive action apart periodic review opportunity ensure change significantly.11.5.2.6 contingent response strategiessome responses designed use certain events occur. risks appropriate project team make response plan executed certain predefined conditions believed sufficient warning implement plan. events trigger contingency response missing intermediate milestones gaining higher priority seller defined tracked. risk responses identified using technique often called contingency plans fallback plans include identified triggering events set plans effect.11.5.2.7 strategies overall project riskrisk responses planned implemented individual project risks also address overall project risk. risk response strategies used deal individual project risks also applied overall project risk:avoid. level overall project risk significantly negative outside agreed-upon risk thresholds project avoid strategy may adopted. involves taking focused action reduce negative effect uncertainty project whole bring project back within thresholds. example avoidance overall project level would include removal high-risk elements scope project. possible bring project back within thresholds project may canceled. represents extreme degree risk avoidance used overall level threat remain unacceptable.exploit. level overall project risk significantly positive outside agreed-upon risk thresholds project exploit strategy may adopted. involves taking focused action capture positive effect uncertainty project whole. example exploiting overall project level would include addition high-benefit elements scope project add value benefits stakeholders. alternatively risk thresholds project may modified agreement key stakeholders order embrace opportunity.transfer/share. level overall project risk high organization unable address effectively third party may involved manage risk behalf organization. overall project risk negative transfer strategy required may involve payment risk premium. case high positive overall project risk ownership may shared order reap associated benefits. examples transfer share strategies overall project risk include limited setting collaborative business structure buyer seller share overall project risk launching joint venture special-purpose company subcontracting key elements project. mitigate/enhance. strategies involve changing level overall project risk optimize chances achieving project’s objectives. mitigation strategy used overall project risk negative enhancement applies positive. examples mitigation enhancement strategies include replanning project changing scope boundaries project modifying project priority changing resource allocations adjusting delivery times etc.accept. proactive risk response strategy possible address overall project risk organization may choose continue project currently defined even overall project risk outside agreed-upon thresholds. acceptance either active passive. common active acceptance strategy establish overall contingency reserve project including amounts time money resources used project exceeds thresholds. passive acceptance involves proactive action apart periodic review level overall project risk ensure change significantly.11.5.2.8 data analysisa number alternative risk response strategies may considered. data analysis techniques used select preferred risk response strategy include limited to:alternatives analysis. simple comparison characteristics requirements alternative risk response options lead decision response appropriate.cost-benefit analysis. impact individual project risk quantified monetary terms cost-effectiveness alternative risk response strategies determined using cost-benefit analysis see section 8.1.2.3. ratio change impact level divided implementation cost gives cost effectiveness response strategy higher ratio indicating effective response.11.5.2.9 decision makingdecision-making techniques used select risk response strategy include limited multicriteria decision analysis described section 8.1.2.4. one risk response strategies may consideration. decision-making techniques help prioritize risk response strategies. multicriteria decision analysis uses decision matrix provide systematic approach establishing key decision criteria evaluating ranking alternatives selecting preferred option. criteria risk response selection may include limited cost response likely effectiveness response changing probability and/or impact resource availability timing constraints urgency proximity dormancy level impact risk occurs effect response related risks introduction secondary risks etc. different strategies may selected later project original choice proves ineffective.
Plan Risk Responses Outputs,447,11.5.3,449,11.5.3 plan risk responses: outputs11.5.3.1 change requestsdescribed section 4.3.3.4. planned risk responses may result change request cost schedule baselines components project management plan. change requests processed review disposition perform integrated change control process section 4.6.11.5.3.2 project management plan updatesany change project management plan goes organization’s change control process via change request. components may require change request project management plan include limited to:schedule management plan. described section 6.1.3.1. changes schedule management plan changes resource loading leveling updates schedule strategy incorporated.cost management plan. described section 7.1.3.1. changes cost management plan changes cost accounting tracking reports well updates budget strategy contingency reserves consumed incorporated.quality management plan. described section 8.1.3.1. changes quality management plan changes approaches meeting requirements quality management approaches quality control processes incorporated.resource management plan. described section 9.1.3.1. changes resource management plan changes resource allocation well updates resource strategy incorporated.procurement management plan. described section 12.1.3.1. changes procurement management plan alterations make-or-buy decision contract types incorporated.scope baseline. described section 5.4.3.1. changes scope baseline incorporated response approved changes scope may arise agreed-upon risk responses.schedule baseline. described section 6.5.3.1. changes schedule baseline incorporated response approved changes schedule estimates may arise agreed-upon risk responses.cost baseline. described section 7.3.3.1. changes cost baseline incorporated response approved changes cost estimates may arise agreed-upon risk responses. 11.5.3.3 project documents updatesproject documents may updated result carrying process include limited to:assumption log. described section 4.1.3.2. plan risk responses process new assumptions may made new constraints may identified existing assumptions constraints may revisited changed. assumption log updated new information.cost forecasts. described section 7.4.3.2. cost forecasts may change result planned risk responses.lessons learned register. described section 4.4.3.1. lessons learned register updated information risk responses may useful future phases project future projects.project schedule. described section 6.5.3.2. activities relating agreed-upon risk responses may added project schedule.project team assignments. described section 9.3.3.2. responses confirmed necessary resources allocated action associated risk response plan. resources include suitably qualified experienced personnel execute agreed-upon action usually within project team specific budget time allowance action required technical resources complete action.risk register. described section 11.2.3.1. risk register updated appropriate risk responses chosen agreed upon. updates risk register may include limited to: agreed-upon response strategies; specific actions implement chosen response strategy; trigger conditions symptoms warning signs risk occurrence; budget schedule activities required implement chosen responses; contingency plans risk triggers call execution; fallback plans use risk occurred primary response proves inadequate; residual risks expected remain planned responses taken well deliberately accepted; secondary risks arise direct outcome implementing risk response.risk report. described section 11.2.3.2. risk report may updated present agreed-upon responses current overall project risk exposure high-priority risks together expected changes may expected result implementing responses.
Implement Risk Responses,449,11.6,450,11.6 implement risk responsesimplement risk responses process implementing agreed-upon risk response plans. key benefit process ensures agreed-upon risk responses executed planned order address overall project risk exposure minimize individual project threats maximize individual project opportunities. process performed throughout project. inputs tools techniques outputs process depicted figure 11-18. figure 11-19 depicts data ﬂow diagram process.proper attention implement risk responses process ensure agreed-upon risk responses actually executed. common problem project risk management project teams spend effort identifying analyzing risks developing risk responses risk responses agreed upon documented risk register risk report action taken manage risk. risk owners give required level effort implementing agreed-upon responses overall risk exposure project individual threats opportunities managed proactively.
Implement Risk Responses Inputs,450,11.6.1,451,11.6.1 implement risk responses: inputs11.6.1.1 project management plandescribed section 4.2.3.1. project management plan components include limited risk management plan. described section 11.1.3.1 risk management plan lists roles responsibilities project team members stakeholders risk management. information used allocating owners agreed-upon risk responses. risk management plan also defines level detail risk management methodology project. also specifies risk thresholds project based risk appetite key stakeholders define acceptable target implementation risk responses required achieve.11.6.1.2 project documentsproject documents considered inputs process include limited to:lessons learned register. described section 4.4.3.1. lessons learned earlier project regard implementing risk responses applied later phases project improve effectiveness process.risk register. described section 11.2.3.1. risk register records agreed-upon risk responses individual risk nominated owners response plan.risk report. described section 11.2.3.2. risk report includes assessment current overall project risk exposure well agreed-upon risk response strategy. also describes major individual project risks planned responses.11.6.1.3 organizational process assetsthe organizational process assets inﬂuence implement risk responses process include limited lessons learned repository similar completed projects indicate effectiveness particular risk responses.
Implement Risk Responses Tools and Techniques,451,11.6.2,451,11.6.2.1 expert judgment described section 4.1.2.1. expertise considered individuals groups specialized knowledge validate modify risk responses necessary decide implement efficient effective manner. 11.6.2.2 interpersonal team skills interpersonal team skills used process include limited influencing. risk response actions may owned people outside immediate project team competing demands. project manager person responsible facilitating risk process may need exercise influencing (see section 9.5.2.1) encourage nominated risk owners take necessary action required. 11.6.2.3 project management information system (pmis) described section 4.3.2.2. project management information systems include schedule resource cost software ensure agreed-upon risk response plans associated activities integrated project alongside project activities.
Implement Risk Responses Outputs,451,11.6.3,453,11.6.3 implement risk responses: outputs11.6.3.1 change requestsdescribed section 4.3.3.4. implementation risk responses may result change request cost schedule baselines components project management plan. change requests processed review disposition perform integrated change control process section 4.6. 11.6.3.2 project documents updatesproject documents may updated result carrying process include limited to:issue log. described section 4.3.3.3. issues identified part implement risk responses process recorded issue log.lessons learned register. described section 4.4.3.1. lessons learned register updated information challenges encountered implementing risk responses could avoided well approaches worked well implementing risk responses.project team assignments. described section 9.3.3.2. risk responses confirmed necessary resources allocated action associated risk response plan. resources include suitably qualified experienced personnel execute agreed-upon action usually within project team specific budget time allowance action required technical resources complete action.risk register. described section 11.2.3.1. risk register may updated reﬂect changes previously agreed-upon risk responses individual project risks subsequently made result implement risk responses process.risk report. described section 11.2.3.2. risk report may updated reﬂect changes previously agreed-upon risk response overall project risk exposure subsequently made result implement risk responses process.
Monitor Risks,453,11.7,455,11.7 monitor risksmonitor risks process monitoring implementation agreed-upon risk response plans tracking identified risks identifying analyzing new risks evaluating risk process effectiveness throughout project. key benefit process enables project decisions based current information overall project risk exposure individual project risks. process performed throughout project. inputs tools techniques outputs process depicted figure 11-20. order ensure project team key stakeholders aware current level risk exposure project work continuously monitored new changing outdated individual project risks changes level overall project risk applying monitor risks process. monitor risks process uses performance information generated project execution determine if:implemented risk responses effectivelevel overall project risk changedstatus identified individual project risks changednew individual project risks arisenrisk management approach still appropriateproject assumptions still validrisk management policies procedures followedcontingency reserves cost schedule require modification andproject strategy still valid.
Monitor Risks Inputs,455,11.7.1,456,11.7.1 monitor risks: inputs11.7.1.1 project management plandescribed section 4.2.3.1. project management plan components include limited risk management plan. described section 11.3.1.1. risk management plan provides guidance risks reviewed policies procedures followed roles responsibilities monitoring process reporting formats.11.7.1.2 project documentsproject documents considered inputs process include limited to:issue log. described section 4.3.3.3. issue log used see open issues updated necessitate update risk register.lessons learned register. described section 4.4.3.1. risk-related lessons earlier project applied later phases project.risk register. described section 11.2.3.1. risk register key inputs include identified individual project risks risk owners agreed-upon risk responses specific implementation actions. may also provide details including control actions assessing effectiveness response plans symptoms warning signs risk residual secondary risks watch list low-priority risks.risk report. described section 11.2.3.2. risk report includes assessment current overall project risk exposure well agreed-upon risk response strategy. also describes major individual risks planned responses risk owners.11.7.1.3 work performance data described section 4.3.3.2. work performance data contains data project status risk responses implemented risks occurred risks active closed out. 11.7.1.4 work performance reports described section 4 5.3.1. work performance reports provide information performance measurements analyzed provide project work performance information including variance analysis earned value data forecasting data. information could relevant monitoring performance-related risks.
Monitor Risks Tools and Techniques,456,11.7.2,457,11.7.2 monitor risks: tools techniques11.7.2.1 data analysisdata analysis techniques used process include limited to:technical performance analysis. technical performance analysis compares technical accomplishments project execution schedule technical achievement. requires definition objective quantifiable measures technical performance used compare actual results targets. technical performance measures may include weight transaction times number delivered defects storage capacity etc. deviation indicate potential impact threats opportunities.reserve analysis. described section 7.2.2.6. throughout execution project individual project risks may occur positive negative impacts budget schedule contingency reserves. reserve analysis compares amount contingency reserves remaining amount risk remaining time project order determine remaining reserve adequate. may communicated using various graphical representations including burndown chart.11.7.2.2 auditsdescribed section 8.2.2.5. risk audits type audit may used consider effectiveness risk management process. project manager responsible ensuring risk audits performed appropriate frequency defined project’s risk management plan. risk audits may included routine project review meetings may form part risk review meeting team may choose hold separate risk audit meetings. format risk audit objectives clearly defined audit conducted. 11.7.2.3 meetings meetings used process include limited risk reviews. risk reviews scheduled regularly examine document effectiveness risk responses dealing overall project risk identified individual project risks. risk reviews may also result identification new individual project risks (including secondary risks arise agreed-upon risk responses) reassessment current risks closing risks outdated issues arisen result risks occurred identification lessons learned implementation ongoing phases current project similar projects future. risk review may conducted part periodic project status meeting dedicated risk review meeting may held specified risk management plan.
Monitor Risks Outputs,457,11.7.3,459,11.7.3 monitor risks: outputs11.7.3.1 work performance informationdescribed section 4.5.1.3. work performance information includes information project risk management performing comparing individual risks occurred expectation would occur. information indicates effectiveness response planning response implementation processes.11.7.3.2 change requestsdescribed section 4.3.3.4. monitor risks process may result change request cost schedule baselines components project management plan. change requests processed review disposition perform integrated change control process section 4.6.change requests include recommended corrective preventive actions address current level overall project risk address individual project risks.11.7.3.3 project management plan updatesany change project management plan goes organization’s change control process via change request. may affect component project management plan. 11.7.3.4 project documents updatesproject documents may updated result carrying process include limited to:assumption log. described section 4.1.3.2. monitor risks process new assumptions may made new constraints may identified existing assumptions constraints may revisited changed. assumption log updated new information.issue log. described section 4.3.3.3. issues identified part monitor risks process recorded issue log.lessons learned register. described section 4.4.3.1. lessons learned register updated risk-related lessons learned risk reviews used later phases project future projects.risk register. described section 11.2.3.1. risk register updated information individual project risks generated monitor risks process. may include adding new risks updating outdated risks risks realized updating risk responses forth.risk report. described section 11.2.3.2. new information becomes available monitor risks process risk report updated reﬂect current status major individual project risks current level overall project risk. risk report may also include details top individual project risks agreed-upon responses owners conclusions recommendations. may also include conclusions risk audits effectiveness risk management process.11.7.3.5 organizational process assets updatesorganizational process assets updated result monitor risks process include limited to:templates risk management plan risk register risk report; andrisk breakdown structure.
